source,target,value
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['global efficiencyweighted0.5keep', '0.00595209082540149']",-0.004000662971145303
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['modularityweighted0.5keep', '3.754337651473705e-05']",-0.029007436644122992
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['participation coefficientweighted0.5keep', '0.006354496676262422']",0.010249707872043537
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['strengthbinarize0.5keep', '0.29517426687424786']",0.0061067846411910175
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['betweennness centralitybinarize0.5keep', '0.32009078294553517']",-0.13932503900568038
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['clusteringbinarize0.5keep', '0.3085761194335849']",0.17311500294912646
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['eigenvector centralitybinarize0.5keep', '0.29469149417569507']",0.006069450021898391
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['local efficiencybinarize0.5keep', '0.3085930015505808']",0.1731199315322768
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['global efficiencybinarize0.5keep', '0.0030632451400728344']",0.011319609932743691
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['modularitybinarize0.5keep', '0.0030447983250382338']",-0.04918933419555064
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['participation coefficientbinarize0.5keep', '0.0011987880596316947']",0.02116944639472728
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['strengthweighted0.3keep', '0.34008547162435154']",0.3943971989678835
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['betweennness centralityweighted0.3keep', '0.2826499830585747']",0.6568702590149723
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['clusteringweighted0.3keep', '0.3383410890867957']",0.09771058806463781
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['eigenvector centralityweighted0.3keep', '0.34204583609011874']",0.242641753974674
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['local efficiencyweighted0.3keep', '0.3613123377084164']",0.14497265656709765
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['global efficiencyweighted0.3keep', '9.295783729679208e-05']",-0.04979438882863308
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['modularityweighted0.3keep', '0.00024038296319295327']",-0.034467133348616015
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['participation coefficientweighted0.3keep', '0.005976665428369277']",0.12182479418344537
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['strengthbinarize0.3keep', '0.31650412748811985']",0.330037188486878
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['betweennness centralitybinarize0.3keep', '0.26924206925584815']",0.15295580943066467
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['clusteringbinarize0.3keep', '0.2939158568042721']",-0.012532957167977523
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['eigenvector centralitybinarize0.3keep', '0.34355570469275865']",0.19723269483240938
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['local efficiencybinarize0.3keep', '0.2961269682790668']",-0.00980460741611468
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['global efficiencybinarize0.3keep', '5.1002910900543874e-05']",0.04833961170903211
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['modularitybinarize0.3keep', '0.001996347383970476']",-0.04580043348795482
"['betweennness centralityweighted0.5abs', '0.32816281212175114']","['participation coefficientbinarize0.3keep', '0.0032444086048247778']",0.012945364216657
